production_countries,number,production_budget,box_office
Ethiopia,10,$0,"$113,927"
The Democratic Republic of the Congo,4,$0,"$84,087"
Holy See (Vatican City State),1,$0,"$83,293"
Jamaica,7,"$750,000","$82,978"
Isle of Man,2,$0,"$71,190"
Azerbaijan,9,"$29,120","$54,796"
Côte D'Ivoire,2,$0,"$49,967"
Angola,5,$0,"$47,278"
Haiti,7,$0,"$41,873"
Czechoslovakia,5,$0,"$35,541"
United Republic of Tanzania,7,"$800,000","$27,694"
Zimbabwe,1,$0,"$25,038"
Macao,2,$0,"$25,021"
Congo,1,$0,"$24,139"
Gabon,1,$0,"$19,215"
Bahrain,1,$0,"$19,130"
Uganda,6,$0,"$16,942"
Burkina Faso,3,$0,"$7,849"
Andorra,1,$0,"$4,325"
Samoa,1,$0,"$4,266"
Lesotho,2,$0,"$3,355"
Uzbekistan,2,$0,"$3,024"
Ecuador,9,"$800,000","$2,742"
Mozambique,2,$0,"$2,467"
Mali,2,$0,"$1,939"
Kyrgyzstan,4,"$1,400,000","$1,238"
Barbados,1,$0,"$1,105"
Antarctica,2,$0,$976
Nicaragua,4,$0,$0
Liechtenstein,4,$0,$0
Trinidad and Tobago,4,$0,$0
Republic of Moldova,2,$0,$0
El Salvador,2,$0,$0
Federated States of Micronesia,1,$0,$0
Liberia,1,$0,$0
Fiji,1,$0,$0
Solomon Islands,1,$0,$0
Guinea-Bissau,1,$0,$0
Oman,1,$0,$0
Honduras,1,$0,$0
Belize,1,$0,$0
Kiribati,1,$0,$0
Malawi,1,$0,$0
